癌症診斷年,性別,縣市別,癌症別,年齡標準化發生率  WHO 2000世界標準人口 (每10萬人口) ,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2013,全,全國,口腔、口咽及下咽,22.58,"7,342",55.79,55,31.41
2013,全,全國,主唾液腺,0.93,280,54.41,56,1.2
2013,全,全國,鼻咽,4.9,"1,525",51.84,52,6.52
2013,全,全國,食道,7.54,"2,524",58.79,57,10.8
2013,全,全國,胃,10.98,"3,852",68.58,70,16.48
2013,全,全國,小腸,1.15,390,63.09,62,1.67
2013,全,全國,結直腸,45.36,"15,502",66.01,66,66.32
2013,全,全國,肝及肝內膽管,35.37,"11,884",64.97,65,50.84
2013,全,全國,膽囊及肝外膽管,2.71,953,70.05,71,4.08
2013,全,全國,胰,6.19,"2,124",67.37,68,9.09
2013,全,全國,後腹膜腔及腹膜,0.89,261,55.9,59,1.12
2013,全,全國,消化器官其他分界不明部位,0.04,15,70.13,78,0.06
2013,全,全國,鼻腔、中耳及副鼻竇,0.7,228,58.11,55.5,0.98
2013,全,全國,喉,2.08,701,62.25,61,3
2013,全,全國,肺、支氣管及氣管,35.27,"12,189",67.49,68,52.15
2013,全,全國,胸膜,0.2,64,63.17,65,0.27
2013,全,全國,胸腺、心臟與中隔,1.09,334,54.81,55,1.43
2013,全,全國,骨、關節及關節軟骨,0.66,158,40.25,38,0.68
2013,全,全國,結締組織、皮下組織及其他軟組織,2.14,619,53.44,56,2.65
2013,全,全國,皮膚,10.57,"3,763",70.69,74,16.1
2013,全,全國,膀胱,6.04,"2,132",69.91,71,9.12
2013,全,全國,腎,3.95,"1,286",61.15,62,5.5
2013,全,全國,腎盂及其他泌尿系統,4.39,"1,510",69.93,71,6.46
2013,全,全國,眼及淚腺,0.33,70,45.87,50.5,0.3
2013,全,全國,腦,2.64,702,49.87,53.5,3
2013,全,全國,其他神經系統,0.37,111,56.32,60,0.47
2013,全,全國,甲狀腺,10.68,"3,169",48.96,49,13.56
2013,全,全國,其他內分泌腺,0.42,85,34.88,36,0.36
2013,全,全國,其他分界不明的部位,0.04,11,54.18,55,0.05
2013,全,全國,不明原發部位,2.39,846,68.06,70,3.62
2013,全,全國,何杰金氏淋巴瘤,0.84,203,38.66,31,0.87
2013,全,全國,白血病,7.74,"2,194",55.91,60,9.39
2013,全,全國,非何杰金氏淋巴瘤,7.24,"2,352",61.79,63,10.06
2013,全,全國,漿細胞瘤,1.6,552,67.13,68,2.36
2013,全,全國,全癌症,307.84,"101,942",62.5,62,436.14
2013,全,台北市,口腔、口咽及下咽,12.72,524,59.11,58,19.5
2013,全,台北市,主唾液腺,1.03,37,56.57,59,1.38
2013,全,台北市,鼻咽,4,149,52.35,52,5.55
2013,全,台北市,食道,3.77,164,62.53,60,6.1
2013,全,台北市,胃,11.04,509,69.57,70,18.95
2013,全,台北市,小腸,1.01,43,64.93,66,1.6
2013,全,台北市,結直腸,41.52,"1,846",67.68,68,68.71
2013,全,台北市,肝及肝內膽管,22.89,"1,007",66.75,66,37.48
2013,全,台北市,膽囊及肝外膽管,2.16,104,71.88,72.5,3.87
2013,全,台北市,胰,6.1,282,70.73,72,10.5
2013,全,台北市,後腹膜腔及腹膜,1.11,46,61.04,61.5,1.71
2013,全,台北市,消化器官其他分界不明部位,0.01,1,92,92,0.04
2013,全,台北市,鼻腔、中耳及副鼻竇,0.73,30,62.53,62.5,1.12
2013,全,台北市,喉,1.41,61,64.13,63,2.27
2013,全,台北市,肺、支氣管及氣管,33.52,"1,512",68.4,69,56.28
2013,全,台北市,胸膜,0.23,8,58.5,64,0.3
2013,全,台北市,胸腺、心臟與中隔,1.24,47,56.11,56,1.75
2013,全,台北市,骨、關節及關節軟骨,0.77,21,40.9,38,0.78
2013,全,台北市,結締組織、皮下組織及其他軟組織,1.98,73,55.79,58,2.72
2013,全,台北市,皮膚,8.35,381,69.88,72,14.18
2013,全,台北市,膀胱,5.21,245,71.31,72,9.12
2013,全,台北市,腎,4.81,198,61.96,62,7.37
2013,全,台北市,腎盂及其他泌尿系統,3.5,159,69.74,71,5.92
2013,全,台北市,眼及淚腺,0.19,6,47,54.5,0.22
2013,全,台北市,腦,2.72,87,50.29,52,3.24
2013,全,台北市,其他神經系統,0.31,14,68.93,70.5,0.52
2013,全,台北市,甲狀腺,13.72,486,50.18,50,18.09
