年,月,地址,里數,鄰數,戶數,男,女,合計
114,4,板橋區,126,2515,236215,266819,285627,552446
114,4,三重區,119,2564,170069,186790,196349,383139
114,4,中和區,93,2998,180891,194629,210795,405424
114,4,永和區,62,1249,95328,100251,112652,212903
114,4,新莊區,84,1842,175462,204902,217901,422803
114,4,新店區,69,1482,141930,146270,160629,306899
114,4,土城區,47,1236,99263,117650,123449,241099
114,4,蘆洲區,38,727,78168,96357,101159,197516
114,4,樹林區,42,1039,71207,88365,89817,178182
114,4,鶯歌區,20,434,36559,44703,44957,89660
114,4,三峽區,28,608,48215,57374,58047,115421
114,4,淡水區,42,703,102179,96890,107439,204329
114,4,汐止區,50,1141,100741,102765,109344,212109
114,4,瑞芳區,34,426,16253,18203,17879,36082
114,4,五股區,20,515,40265,46752,47383,94135
114,4,泰山區,17,466,31736,38180,39615,77795
114,4,林口區,17,443,59548,66365,70858,137223
114,4,八里區,10,195,19337,21322,21733,43055
114,4,深坑區,8,239,10565,11772,11950,23722
114,4,石碇區,12,107,3321,3791,3151,6942
114,4,坪林區,7,78,2564,3355,2899,6254
114,4,三芝區,13,254,10501,11399,10741,22140
114,4,石門區,9,124,4260,5315,4869,10184
114,4,金山區,15,201,7583,9825,10077,19902
114,4,萬里區,10,186,7879,10132,10269,20401
114,4,平溪區,12,120,2122,2238,1742,3980
114,4,雙溪區,12,244,3548,4112,3427,7539
114,4,貢寮區,11,202,4268,5385,5224,10609
114,4,烏來區,5,43,1914,3009,3163,6172
總計,,,1032,22381,1761891,1964920,2083145,4048065
