年,月,地址,緯度,經度,里數,鄰數,戶數,男,女,合計,緯度,經度
114,4.0,板橋區,25.0114095,121.4618415,126,2515,236215,266819,285627,552446,25.0114095,121.4618415
114,4.0,三重區,25.0614534,121.4867114,119,2564,170069,186790,196349,383139,25.0614534,121.4867114
114,4.0,中和區,24.9962178,121.4853103,93,2998,180891,194629,210795,405424,24.9962178,121.4853103
114,4.0,永和區,25.0103251,121.5145353,62,1249,95328,100251,112652,212903,25.0103251,121.5145353
114,4.0,新莊區,25.0265985,121.4178347,84,1842,175462,204902,217901,422803,25.0265985,121.4178347
114,4.0,新店區,24.978282,121.5394822,69,1482,141930,146270,160629,306899,24.978282,121.5394822
114,4.0,土城區,24.968371,121.438034,47,1236,99263,117650,123449,241099,24.968371,121.438034
114,4.0,蘆洲區,25.0868908,121.4715241,38,727,78168,96357,101159,197516,25.0868908,121.4715241
114,4.0,樹林區,24.9815605,121.4198606,42,1039,71207,88365,89817,178182,24.9815605,121.4198606
114,4.0,鶯歌區,24.9614967,121.3427262,20,434,36559,44703,44957,89660,24.9614967,121.3427262
114,4.0,三峽區,24.9358605,121.3744903,28,608,48215,57374,58047,115421,24.9358605,121.3744903
114,4.0,淡水區,25.1719805,121.4433706,42,703,102179,96890,107439,204329,25.1719805,121.4433706
114,4.0,汐止區,25.0616059,121.6397184,50,1141,100741,102765,109344,212109,25.0616059,121.6397184
114,4.0,瑞芳區,25.103052,121.822098,34,426,16253,18203,17879,36082,25.103052,121.822098
114,4.0,五股區,25.0848317,121.4386586,20,515,40265,46752,47383,94135,25.0848317,121.4386586
114,4.0,泰山區,25.0581641,121.4327919,17,466,31736,38180,39615,77795,25.0581641,121.4327919
114,4.0,林口區,25.0790108,121.3881378,17,443,59548,66365,70858,137223,25.0790108,121.3881378
114,4.0,八里區,25.1443896,121.3983016,10,195,19337,21322,21733,43055,25.1443896,121.3983016
114,4.0,深坑區,25.0033792,121.6169002,8,239,10565,11772,11950,23722,25.0033792,121.6169002
114,4.0,石碇區,25.0098662,121.6452827,12,107,3321,3791,3151,6942,25.0098662,121.6452827
114,4.0,坪林區,24.9350844,121.7107613,7,78,2564,3355,2899,6254,24.9350844,121.7107613
114,4.0,三芝區,25.2593452,121.5024341,13,254,10501,11399,10741,22140,25.2593452,121.5024341
114,4.0,石門區,25.2908277,121.5671383,9,124,4260,5315,4869,10184,25.2908277,121.5671383
114,4.0,金山區,25.2223616,121.6367773,15,201,7583,9825,10077,19902,25.2223616,121.6367773
114,4.0,萬里區,25.1676024,121.6397184,10,186,7879,10132,10269,20401,25.1676024,121.6397184
114,4.0,平溪區,25.0248314,121.7408654,12,120,2122,2238,1742,3980,25.0248314,121.7408654
114,4.0,雙溪區,24.9971842,121.822098,12,244,3548,4112,3427,7539,24.9971842,121.822098
114,4.0,貢寮區,25.0168762,121.9459786,11,202,4268,5385,5224,10609,25.0168762,121.9459786
114,4.0,烏來區,24.8663721,121.5497801,5,43,1914,3009,3163,6172,24.8663721,121.5497801
總計,,,,,1032,22381,1761891,1964920,2083145,4048065,,
