地址,,2024Q4Total
新北市,New Taipei City,"183,542"
板橋區,Banciao District,"24,841"
三重區,Sanchong District,"19,018"
中和區,Jhonghe District,"18,762"
永和區,Yonghe District,"9,217"
新莊區,Sinjhuang District,"17,734"
新店區,Sindian District,"13,547"
樹林區,Shulin District,"8,017"
鶯歌區,Yingge District,"4,193"
三峽區,Sansia District,"5,418"
淡水區,Danshuei District,"8,212"
汐止區,Sijhih District,"9,451"
瑞芳區,Rueifang District,"2,789"
土城區,Tucheng District,"10,945"
蘆洲區,Lujhou District,"8,560"
五股區,Wugu District,"4,267"
泰山區,Taishan District,"3,425"
林口區,Linkou District,"4,309"
深坑區,Shenkeng District,"1,218"
石碇區,Shihding District,498
坪林區,Pinglin District,400
三芝區,Sanjhih District,"1,319"
石門區,Shihmen District,584
八里區,Bali District,"2,000"
平溪區,Pingsi District,447
雙溪區,Shuangsi District,607
貢寮區,Gongliao District,785
金山區,Jinshan District,"1,206"
萬里區,Wanli District,"1,414"
烏來區,Wulai District,359
臺北市,Taipei City,"120,711"
松山區,Songshan District ,"8,031"
信義區,Sinyi District ,"10,823"
大安區,Daan District ,"11,663"
中山區,Jhongshan District ,"9,846"
中正區,Jhongjheng District ,"6,499"
大同區,Datong District ,"6,512"
萬華區,Wanhua District ,"11,432"
文山區,Wunshan District ,"12,850"
南港區,Nangang District ,"6,203"
內湖區,Neihu District ,"11,128"
士林區,Shihlin District ,"13,575"
北投區,Beitou District ,"12,149"
