地址,緯度,經度,Unnamed: 1,2024Q4Total
板橋區,25.0114095,121.4618415,Banciao District,24841
三重區,25.0614534,121.4867114,Sanchong District,19018
中和區,24.9962178,121.4853103,Jhonghe District,18762
永和區,25.0103251,121.5145353,Yonghe District,9217
新莊區,25.0265985,121.4178347,Sinjhuang District,17734
新店區,24.978282,121.5394822,Sindian District,13547
樹林區,24.9815605,121.4198606,Shulin District,8017
鶯歌區,24.9614967,121.3427262,Yingge District,4193
三峽區,24.9358605,121.3744903,Sansia District,5418
淡水區,25.1719805,121.4433706,Danshuei District,8212
汐止區,25.0616059,121.6397184,Sijhih District,9451
瑞芳區,25.103052,121.822098,Rueifang District,2789
土城區,24.968371,121.438034,Tucheng District,10945
蘆洲區,25.0868908,121.4715241,Lujhou District,8560
五股區,25.0848317,121.4386586,Wugu District,4267
泰山區,25.0581641,121.4327919,Taishan District,3425
林口區,25.0790108,121.3881378,Linkou District,4309
深坑區,25.0033792,121.6169002,Shenkeng District,1218
石碇區,25.0098662,121.6452827,Shihding District,498
坪林區,24.9350844,121.7107613,Pinglin District,400
三芝區,25.2593452,121.5024341,Sanjhih District,1319
石門區,25.2908277,121.5671383,Shihmen District,584
八里區,25.1443896,121.3983016,Bali District,2000
平溪區,25.0248314,121.7408654,Pingsi District,447
雙溪區,24.9971842,121.822098,Shuangsi District,607
貢寮區,25.0168762,121.9459786,Gongliao District,785
金山區,25.2223616,121.6367773,Jinshan District,1206
萬里區,25.1676024,121.6397184,Wanli District,1414
烏來區,24.8663721,121.5497801,Wulai District,359
松山區,25.0541591,121.5638621,Songshan District ,8031
信義區,25.0409201,121.5720055,Sinyi District ,10823
大安區,25.0249441,121.5433783,Daan District ,11663
中山區,25.0792018,121.5427093,Jhongshan District ,9846
中正區,25.0421407,121.5198716,Jhongjheng District ,6499
大同區,25.0627243,121.5113064,Datong District ,6512
萬華區,25.0262857,121.4970294,Wanhua District ,11432
文山區,24.9887396,121.5601762,Wunshan District ,12850
南港區,25.0312347,121.6111949,Nangang District ,6203
內湖區,25.0689422,121.5909027,Neihu District ,11128
士林區,25.0950492,121.5246077,Shihlin District ,13575
北投區,25.1151759,121.515018,Beitou District ,12149
