ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,給藥,衛教
1,0101090517,區域醫院,臺北市立聯合醫院和平婦幼院區[和平],02-25553000,臺北市中正區中華路2段33號、35號、福州街12號、福州街10巷7號,V,V
2,0401180014,醫學中心,國立臺灣大學醫學院附設醫院,02-23123456#62147,臺北市中正區中山南路7、8號；常德街1號,V,V
3,3501181918,診所,丞泰耳鼻喉科診所,02-23973668,臺北市中正區南昌路1段78號,V,V
4,3501183547,診所,怡和診所,02-23625100,臺北市中正區汀州路2段212號,V,V
5,3501183850,診所,健康101診所,02-23645143,臺北市中正區牯嶺街97號1樓,V,V
6,3501185425,診所,宜康診所,02-23417696,臺北市中正區新生南路一段148號,V,
7,5901184777,藥局,專品公園藥局,02-23142388,臺北市中正區公園路32號1樓,V,V
8,5901184857,藥局,專品南昌藥局,02-23560296,臺北市中正區龍福里南昌路1段66號1樓,V,V
9,5901184919,藥局,和平藥局,02-23755303,臺北市中正區中華路２段４３號１樓,V,V
10,0101090517,區域醫院,臺北市立聯合醫院中興院區,02-25553000,臺北市大同區鄭州路145號,V,V
11,3501090458,診所,施小兒科診所,02-25941935,臺北市大同區重慶北路3段28號,V,V
12,3501091508,診所,包眼科診所,02-25537526,臺北市大同區保安街54－1號,V,V
13,3501092890,診所,建成診所,02-25500712,臺北市大同區長安西路82號,V,
14,3501093011,診所,廣博診所,02-25594775,臺北市大同區長安西路220巷5號,V,
15,3501093057,診所,中華民國防癆協會第一胸腔病防治所,02-25577221,臺北市大同區民權西路104號2樓,V,V
16,3501093584,診所,建順診所,02-25573250,臺北市大同區甘州街51號,V,V
17,3501093913,診所,寧夏診所,02-25586060,臺北市大同區民生西路236號,V,V
18,5901091688,藥局,宏泰藥師藥局,02-25957025,臺北市大同區酒泉街123號1樓,V,V
19,0101090517,區域醫院,臺北市立聯合醫院林森中醫昆明院區,02-25553000,臺北市中山區林森北路530號（原昆明院區地址：萬華區昆明街100號）,V,V
20,1101100011,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535,臺北市中山區中山北路2段92號,V,V
21,3501100217,診所,陳炯輝診所,02-25221796,臺北市中山區民生東路2段103號,V,V
22,3501101849,診所,北安聯合診所,02-25337777,臺北市中山區北安路569之1號2樓．之2、3、4號1、2樓,V,V
23,3501103272,診所,大直診所,02-25332339,臺北市中山區北安路595巷2弄2號（1樓及地下層）及6號,V,V
24,3501105310,診所,高固?診所,02-25323036,臺北市中山區北安路613號及595巷1號地下1層,V,V
25,3501106559,診所,杏慈診所,02-25013109,臺北市中山區民權東路2段152巷2之1號,V,V
26,3501107369,診所,晴光診所,02-25853210,臺北市中山區林森北路556號,V,V
27,3501107574,診所,榮星診所,02-25168112,臺北市中山區龍江路272號及274號,V,V
28,3501107645,診所,惟?診所,02-25323038,臺北市中山區北安路595巷1號地下一層,V,V
29,3501107725,診所,大直佳恩診所,02-25323301,臺北市中山區北安路591號,V,V
30,3501108366,診所,上直診所,02-85091776,臺北市中山區北安路458巷41弄49號,V,
31,350110A566,診所,晨昕診所,02-25181268,臺北市中山區復興北路350號3樓,V,V
