ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,緯度,經度,給藥,衛教,district
1,0101090517,區域醫院,臺北市立聯合醫院和平婦幼院區[和平],02-25553000,臺北市中正區中華路2段33號、35號、福州街12號、福州街10巷7號,25.0353943,121.5071105,V,V,中正區
2,0401180014,醫學中心,國立臺灣大學醫學院附設醫院,02-23123456#62147,臺北市中正區中山南路7、8號；常德街1號,25.0402741,121.5191591,V,V,中正區
3,3501181918,診所,丞泰耳鼻喉科診所,02-23973668,臺北市中正區南昌路1段78號,25.03194,121.5168,V,V,中正區
4,3501183547,診所,怡和診所,02-23625100,臺北市中正區汀州路2段212號,25.0223714,121.5237044,V,V,中正區
5,3501183850,診所,健康101診所,02-23645143,臺北市中正區牯嶺街97號1樓,25.0258949,121.5190675,V,V,中正區
6,3501185425,診所,宜康診所,02-23417696,臺北市中正區新生南路一段148號,25.0353194,121.5323364,V,,中正區
7,5901184777,藥局,專品公園藥局,02-23142388,臺北市中正區公園路32號1樓,25.0441018,121.5166958,V,V,中正區
8,5901184857,藥局,專品南昌藥局,02-23560296,臺北市中正區龍福里南昌路1段66號1樓,25.03194,121.5168,V,V,中正區
9,5901184919,藥局,和平藥局,02-23755303,臺北市中正區中華路２段４３號１樓,25.0350587,121.5064153,V,V,中正區
10,0101090517,區域醫院,臺北市立聯合醫院中興院區,02-25553000,臺北市大同區鄭州路145號,25.0513086,121.5087132,V,V,大同區
11,3501090458,診所,施小兒科診所,02-25941935,臺北市大同區重慶北路3段28號,25.0651103,121.5134393,V,V,大同區
12,3501091508,診所,包眼科診所,02-25537526,臺北市大同區保安街54－1號,25.059027,121.51265,V,V,大同區
13,3501092890,診所,建成診所,02-25500712,臺北市大同區長安西路82號,25.0502735,121.5191533,V,,大同區
14,3501093011,診所,廣博診所,02-25594775,臺北市大同區長安西路220巷5號,25.0511838,121.5147065,V,,大同區
15,3501093057,診所,中華民國防癆協會第一胸腔病防治所,02-25577221,臺北市大同區民權西路104號2樓,25.0627445,121.5176086,V,V,大同區
16,3501093584,診所,建順診所,02-25573250,臺北市大同區甘州街51號,25.0596329,121.5128815,V,V,大同區
17,3501093913,診所,寧夏診所,02-25586060,臺北市大同區民生西路236號,25.0569008,121.5144381,V,V,大同區
18,5901091688,藥局,宏泰藥師藥局,02-25957025,臺北市大同區酒泉街123號1樓,25.072144,121.5146964,V,V,大同區
19,0101090517,區域醫院,臺北市立聯合醫院林森中醫昆明院區,02-25553000,臺北市中山區林森北路530號（原昆明院區地址：萬華區昆明街100號）,25.0635091,121.5254499,V,V,中山區
20,1101100011,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535,臺北市中山區中山北路2段92號,25.0588457,121.5223977,V,V,中山區
21,3501100217,診所,陳炯輝診所,02-25221796,臺北市中山區民生東路2段103號,25.0576301,121.537442,V,V,中山區
22,3501101849,診所,北安聯合診所,02-25337777,臺北市中山區北安路569之1號2樓．之2、3、4號1、2樓,25.0808774,121.5482792,V,V,中山區
23,3501103272,診所,大直診所,02-25332339,臺北市中山區北安路595巷2弄2號（1樓及地下層）及6號,25.0819988,121.5483172,V,V,中山區
24,3501105310,診所,高固?診所,02-25323036,臺北市中山區北安路613號及595巷1號地下1層,25.082687,121.548768,V,V,中山區
25,3501106559,診所,杏慈診所,02-25013109,臺北市中山區民權東路2段152巷2之1號,25.0624357,121.5279803,V,V,中山區
26,3501107369,診所,晴光診所,02-25853210,臺北市中山區林森北路556號,25.0642894,121.5254986,V,V,中山區
