"機構名稱","地址","聯絡電話"
"臺北市立陽明教養院","臺北市士林區陽明里8鄰凱旋路61巷4弄9號","02-28611380"
"","",""
"臺北市政府社會局委託中華民國腦性麻痺協會經營管理臺北市三玉啟能中心","臺北市士林區三玉里14鄰忠誠路二段53巷7號3、4、7樓","02-88665931"
"","",""
"財團法人天主教白永恩神父社會福利基金會附設臺北市私立聖安娜之家","臺北市士林區天母里9鄰中山北路七段181巷1號","02-28714397"
"","",""
"財團法人台北市私立自立社區學園","臺北市士林區蘭興里4鄰德行西路93巷7號B1-1","02-28358805"
"","",""
"臺北市政府社會局委託社團法人中華民國腦性麻痺協會經營管理臺北市大同發展中心","臺北市大同區昌吉街52號6-7樓","02-25986886"
"","",""
"臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市大龍養護中心","臺北市大同區民族西路105號1-3樓","02-25875879"
"","",""
"臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市博愛發展中心","臺北市中山區金泰里4鄰敬業三路160號","02-85096395"
"","",""
"財團法人心路社會福利基金會附設臺北市私立心路兒童發展中心","臺北市中山區龍洲里16鄰復興北路232號1樓","02-25080635"
"","",""
"臺北市政府社會局委託社團法人台北市智障者家長協會經營管理臺北市弘愛服務中心","臺北市中正區幸市里8鄰濟南路2段46號4樓","02-23937655"
"","",""
"臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市健軍團體家庭","臺北市中正區富水里004鄰汀州路3段60巷2弄2、4、6號1樓","02-23659037"
"","",""
"財團法人創世社會福利基金會附設台北市私立創世清寒植物人安養院","臺北市中正區梅花里4鄰北平東路28號2樓","02-23970101"
"","",""
"財團法人中華民國婦聯聽覺健康社會福利基金會附設臺北市私立至德聽語中心","臺北市中正區建國里2鄰中華路一段77號3樓","02-28201825"
"","",""
"臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市城中發展中心","臺北市中正區河堤里1鄰汀州路2段172號","02-23643036"
"","",""
"臺北市政府社會局委託財團法人天主教光仁社會福利基金會經營管理臺北市南海發展中心","臺北市中正區延平南路207號1-2樓","02-23113946"
"","",""
"臺北市政府社會局委託財團法人心路社會福利基金會經營管理臺北市金龍發展中心","臺北市內湖區金龍里022鄰金龍路136-1號","02-27933059"
"","",""
"財團法人伊甸社會福利基金會附設臺北市私立婦幼家園","臺北市內湖區寶湖里11鄰民權東路6段180巷42弄6號1樓","02-87925072"
"","",""
"臺北市立陽明教養院委託財團法人中華民國唐氏症基金會經營管理永福之家-興岩園區","臺北市文山區興安里4鄰興隆路2段88號3、4樓","02-89310010"
"","",""
"臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市萬芳啟能中心","臺北市文山區萬芳里30鄰萬美街1段51號1樓","02-22395646"
"","",""
"臺北市政府社會局委託財團法人心路社會福利基金會經營管理臺北市萬芳發展中心","臺北市文山區萬芳里30鄰萬美街1段55號2樓","02-22396217"
"","",""
"臺北市政府社會局委託社團法人臺北市康復之友協會經營管理臺北市一壽照顧中心","臺北市文山區樟新里5鄰一壽街22號3、4樓","02-29383438"
"","",""
"財團法人心路社會福利基金會附設臺北市私立心路社區家園","臺北市文山區興旺里022鄰福興路63巷4弄29號","02-29321015"
"","",""
"財團法人伊甸社會福利基金會附設臺北市私立活泉之家","臺北市文山區萬芳里30鄰萬美街1段55號3樓","02-22306670*6101-6103"
"","",""
"財團法人創世社會福利基金會附設台北市私立文山創世清寒植物人安養院","臺北市文山區萬芳里30鄰萬和街8號5樓","02-22397802"
"","",""
"臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市興隆照顧中心","臺北市文山區興隆路四段105巷45號2樓","02-29381841"
"","",""
"臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市興隆團體家庭","臺北市文山區明義里23鄰木柵路二段138巷33號3樓","02-29360710"
"","",""
"臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市永明發展中心","臺北市北投區永明里4鄰石牌路2段115號4-6F","02-28283051"
"","",""
"財團法人育成社會福利基金會附設臺北市私立育成裕民發展中心","臺北市北投區振華里26鄰裕民一路41巷2弄18號1樓","02-28218468"
"","",""
"財團法人台北市私立陽明養護中心","臺北市北投區奇岩里7鄰公館路209巷18號","02-28912563"
"","",""
"財團法人台北市樹仁社會福利基金會附設台北市私立彩虹村家園","臺北市北投區中心里8鄰泉源路華南巷18號1樓、20號1-2樓","02-28914110"
"","",""
"臺北市政府社會局委託財團法人瑪利亞社會福利基金會經營管理臺北市稻香發展中心","臺北市北投區稻香里7鄰稻香路81號2樓","02-28984218"
"","",""
"臺北市政府社會局委託財團法人台北市自閉兒社會福利基金會經營管理臺北市慈祐發展中心","臺北市松山區八德路4段688號3、4樓","02-27421213"
"","",""
"財團法人伊甸社會福利基金會附設臺北市私立八德服務中心","臺北市松山區復勢里鄰八德路3段155巷4弄35號","02-25702560"
"","",""
"臺北市立陽明教養院委託財團法人喜憨兒社會福利基金會經營管理永福之家-廣慈園區","臺北市信義區大仁里22鄰大道路110號1樓","02-27590722"
"","",""
"臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市恆愛發展中心","臺北市信義區興雅里12鄰松隆路36號6、7樓","02-27634210"
"","",""
"臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市三興團體家庭","臺北市信義區景聯里005鄰吳興街156巷6號3樓","02-27391032"
"","",""
"財團法人陽光社會福利基金會附設臺北市私立陽光重建中心","臺北市中山區復華里14鄰南京東路3段91號3樓","02-25078006"
"","",""
"財團法人第一社會福利基金會附設臺北市私立第一兒童發展中心","臺北市信義區三犁里2鄰信義路5段150巷316號1-2樓","02-27294304"
"","",""
"財團法人第一社會福利基金會附設臺北市私立永愛發展中心","臺北市信義區三犁里2鄰信義路5段150巷316號3-6樓","02-27208817"
"","",""
"臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市廣愛家園","臺北市信義區大仁里27鄰大道路116-2號、大道路116號6樓之1","02-27834236"
"","",""
"臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市東明扶愛家園","臺北市南港區東明里11鄰南港路二段38巷8弄1號","02-27880220"
"","",""
