機構名稱,地址,緯度,經度,聯絡電話,緯度.1,經度.1,district
臺北市立陽明教養院,臺北市士林區陽明里8鄰凱旋路61巷4弄9號,25.1347242,121.5415265,02-28611380,25.1347242,121.5415265,士林區
臺北市政府社會局委託中華民國腦性麻痺協會經營管理臺北市三玉啟能中心,臺北市士林區三玉里14鄰忠誠路二段53巷7號3、4、7樓,25.1114296,121.5323785,02-88665931,25.1114296,121.5323785,士林區
財團法人天主教白永恩神父社會福利基金會附設臺北市私立聖安娜之家,臺北市士林區天母里9鄰中山北路七段181巷1號,25.1244425,121.5321703,02-28714397,25.1244425,121.5321703,士林區
財團法人台北市私立自立社區學園,臺北市士林區蘭興里4鄰德行西路93巷7號B1-1,25.1048184,121.5207861,02-28358805,25.1048184,121.5207861,士林區
臺北市政府社會局委託社團法人中華民國腦性麻痺協會經營管理臺北市大同發展中心,臺北市大同區昌吉街52號6-7樓,25.0656996,121.5162533,02-25986886,25.0656996,121.5162533,大同區
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市大龍養護中心,臺北市大同區民族西路105號1-3樓,25.0687846,121.5170522,02-25875879,25.0687846,121.5170522,大同區
臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市博愛發展中心,臺北市中山區金泰里4鄰敬業三路160號,25.0795799,121.5569007,02-85096395,25.0795799,121.5569007,中山區
財團法人心路社會福利基金會附設臺北市私立心路兒童發展中心,臺北市中山區龍洲里16鄰復興北路232號1樓,25.0571129,121.54381,02-25080635,25.0571129,121.54381,中山區
臺北市政府社會局委託社團法人台北市智障者家長協會經營管理臺北市弘愛服務中心,臺北市中正區幸市里8鄰濟南路2段46號4樓,25.0400086,121.5312216,02-23937655,25.0400086,121.5312216,中正區
臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市健軍團體家庭,臺北市中正區富水里004鄰汀州路3段60巷2弄2、4、6號1樓,25.0154708,121.5307839,02-23659037,25.0154708,121.5307839,中正區
財團法人創世社會福利基金會附設台北市私立創世清寒植物人安養院,臺北市中正區梅花里4鄰北平東路28號2樓,25.0458309,121.5253928,02-23970101,25.0458309,121.5253928,中正區
財團法人中華民國婦聯聽覺健康社會福利基金會附設臺北市私立至德聽語中心,臺北市中正區建國里2鄰中華路一段77號3樓,25.038885,121.5078383,02-28201825,25.038885,121.5078383,中正區
臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市城中發展中心,臺北市中正區河堤里1鄰汀州路2段172號,25.0236916,121.5220835,02-23643036,25.0236916,121.5220835,中正區
臺北市政府社會局委託財團法人天主教光仁社會福利基金會經營管理臺北市南海發展中心,臺北市中正區延平南路207號1-2樓,25.0327805,121.5074507,02-23113946,25.0327805,121.5074507,中正區
臺北市政府社會局委託財團法人心路社會福利基金會經營管理臺北市金龍發展中心,臺北市內湖區金龍里022鄰金龍路136-1號,25.0857648,121.590059,02-27933059,25.0857648,121.590059,內湖區
財團法人伊甸社會福利基金會附設臺北市私立婦幼家園,臺北市內湖區寶湖里11鄰民權東路6段180巷42弄6號1樓,25.0688364,121.5928053,02-87925072,25.0688364,121.5928053,內湖區
臺北市立陽明教養院委託財團法人中華民國唐氏症基金會經營管理永福之家-興岩園區,臺北市文山區興安里4鄰興隆路2段88號3、4樓,25.0003102,121.5488652,02-89310010,25.0003102,121.5488652,文山區
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市萬芳啟能中心,臺北市文山區萬芳里30鄰萬美街1段51號1樓,25.0011361,121.5662678,02-22395646,25.0011361,121.5662678,文山區
臺北市政府社會局委託財團法人心路社會福利基金會經營管理臺北市萬芳發展中心,臺北市文山區萬芳里30鄰萬美街1段55號2樓,25.0011361,121.5662678,02-22396217,25.0011361,121.5662678,文山區
臺北市政府社會局委託社團法人臺北市康復之友協會經營管理臺北市一壽照顧中心,臺北市文山區樟新里5鄰一壽街22號3、4樓,24.9795804,121.5564824,02-29383438,24.9795804,121.5564824,文山區
財團法人心路社會福利基金會附設臺北市私立心路社區家園,臺北市文山區興旺里022鄰福興路63巷4弄29號,25.00465,121.548992,02-29321015,25.00465,121.548992,文山區
財團法人伊甸社會福利基金會附設臺北市私立活泉之家,臺北市文山區萬芳里30鄰萬美街1段55號3樓,25.0011361,121.5662678,02-22306670*6101-6103,25.0011361,121.5662678,文山區
財團法人創世社會福利基金會附設台北市私立文山創世清寒植物人安養院,臺北市文山區萬芳里30鄰萬和街8號5樓,25.0019967,121.5675869,02-22397802,25.0019967,121.5675869,文山區
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市興隆照顧中心,臺北市文山區興隆路四段105巷45號2樓,24.9882386,121.5627241,02-29381841,24.9882386,121.5627241,文山區
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市興隆團體家庭,臺北市文山區明義里23鄰木柵路二段138巷33號3樓,24.9879248,121.5623484,02-29360710,24.9879248,121.5623484,文山區
臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市永明發展中心,臺北市北投區永明里4鄰石牌路2段115號4-6F,25.1183512,121.5174923,02-28283051,25.1183512,121.5174923,北投區
財團法人育成社會福利基金會附設臺北市私立育成裕民發展中心,臺北市北投區振華里26鄰裕民一路41巷2弄18號1樓,25.1167307,121.5184218,02-28218468,25.1167307,121.5184218,北投區
財團法人台北市私立陽明養護中心,臺北市北投區奇岩里7鄰公館路209巷18號,25.127607,121.5089586,02-28912563,25.127607,121.5089586,北投區
財團法人台北市樹仁社會福利基金會附設台北市私立彩虹村家園,臺北市北投區中心里8鄰泉源路華南巷18號1樓、20號1-2樓,25.1407763,121.5067015,02-28914110,25.1407763,121.5067015,北投區
臺北市政府社會局委託財團法人瑪利亞社會福利基金會經營管理臺北市稻香發展中心,臺北市北投區稻香里7鄰稻香路81號2樓,25.1409914,121.4893656,02-28984218,25.1409914,121.4893656,北投區
臺北市政府社會局委託財團法人台北市自閉兒社會福利基金會經營管理臺北市慈祐發展中心,臺北市松山區八德路4段688號3、4樓,25.049869,121.5768856,02-27421213,25.049869,121.5768856,松山區
財團法人伊甸社會福利基金會附設臺北市私立八德服務中心,臺北市松山區復勢里鄰八德路3段155巷4弄35號,25.0489529,121.5557307,02-25702560,25.0489529,121.5557307,松山區
臺北市立陽明教養院委託財團法人喜憨兒社會福利基金會經營管理永福之家-廣慈園區,臺北市信義區大仁里22鄰大道路110號1樓,25.0391503,121.582472,02-27590722,25.0391503,121.582472,信義區
臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市恆愛發展中心,臺北市信義區興雅里12鄰松隆路36號6、7樓,25.0433628,121.5675443,02-27634210,25.0433628,121.5675443,信義區
臺北市政府社會局委託財團法人第一社會福利基金會經營管理臺北市三興團體家庭,臺北市信義區景聯里005鄰吳興街156巷6號3樓,25.0290749,121.5611278,02-27391032,25.0290749,121.5611278,信義區
財團法人陽光社會福利基金會附設臺北市私立陽光重建中心,臺北市中山區復華里14鄰南京東路3段91號3樓,25.0521897,121.5390808,02-25078006,25.0521897,121.5390808,中山區
財團法人第一社會福利基金會附設臺北市私立第一兒童發展中心,臺北市信義區三犁里2鄰信義路5段150巷316號1-2樓,25.0268346,121.5697389,02-27294304,25.0268346,121.5697389,信義區
財團法人第一社會福利基金會附設臺北市私立永愛發展中心,臺北市信義區三犁里2鄰信義路5段150巷316號3-6樓,25.0268346,121.5697389,02-27208817,25.0268346,121.5697389,信義區
臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市廣愛家園,臺北市信義區大仁里27鄰大道路116-2號、大道路116號6樓之1,25.0386327,121.5829298,02-27834236,25.0386327,121.5829298,信義區
臺北市政府社會局委託財團法人育成社會福利基金會經營管理臺北市東明扶愛家園,臺北市南港區東明里11鄰南港路二段38巷8弄1號,25.0550969,121.6044029,02-27880220,25.0550969,121.6044029,南港區
