no,name,tel,地址,緯度,經度,type,remark,reservation,own_expense,division,notice,twd97x,twd97y,wgs84ax,wgs84ay,緯度,經度
2330000000.0,八里區衛生所,2610-1902,新北市八里區舊城路16號,25.1470689,121.4000292,衛生所,如要接種，請先致電詢問疫苗庫存,網路、現場,否,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察30分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予接種。,290334.21,2782130.07,121.400061,25.147094,25.1470689,121.4000292
3530000000.0,文心診所,2619-1537,新北市八里區中山路392號,25.1589348,121.4222048,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察31分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,290974.92,2782818.63,121.406437,25.153294,25.1589348,121.4222048
3531231136.0,台加診所,8630-2275,新北市八里區中山路二段310號,25.1500928,121.4044695,診所,如要接種，請先致電詢問疫苗庫存,現場,是,不分科(婦產科),接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察32分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,290774.2,2782459.34,121.404435,25.150055,25.1500928,121.4044695
3530000000.0,施世明診所,8630-2193,新北市八里區華峰一街18號,25.1468156,121.3994185,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察33分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,290256.72,2782098.36,121.399292,25.14681,25.1468156,121.3994185
3530000000.0,誠泰診所,2610-8205,新北市八里區中山路一段231號,25.157637,121.4109423,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察34分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,291436.81,2783290.24,121.411032,25.157539,25.157637,121.4109423
2330000000.0,三芝區衛生所,2636-2007,新北市三芝區中山路一段12號,25.2584021,121.5007618,衛生所,如要接種，請先致電詢問疫苗庫存,現場,否,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察35分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300440.21,2794493.86,121.500753,25.258408,25.2584021,121.5007618
3530000000.0,三芝彭小兒科,2636-9622,新北市三芝區中山路一段59號1樓,25.2573021,121.5008227,診所,如要接種，請先致電詢問疫苗庫存,現場,是,小兒科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察36分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,300441.64,2794362.21,121.500762,25.257219,25.2573021,121.5008227
2330000000.0,三重區衛生所,2982-5233,新北市三重區新北大道一段1號1樓,25.06103,121.4915413,衛生所,如要接種，請先致電詢問疫苗庫存,現場,否,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察37分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299576.93,2772645.39,121.491392,25.061192,25.06103,121.4915413
3530000000.0,丁婦產科診所,2985-8001,新北市三重區自強路一段246號,25.067232,121.4927126,診所,如要接種，請先致電詢問疫苗庫存,現場,否,婦產科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察38分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299714.81,2773324.78,121.492783,25.067321,25.067232,121.4927126
3530000000.0,九如聯合診所,2857-5600,新北市三重區仁愛街753號,25.0803477,121.4813886,診所,如要接種，請先致電詢問疫苗庫存,現場,是,家醫、耳鼻喉科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察39分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,298547.51,2774759.42,121.481263,25.08031,25.0803477,121.4813886
3530000000.0,三民家庭醫學科診所,2984-0686,新北市三重區三民街83號,25.0632003,121.4856975,診所,如要接種，請先致電詢問疫苗庫存,電話、現場,否,家醫科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察40分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,299000.0,2772851.16,121.485681,25.063068,25.0632003,121.4856975
1530000000.0,三重中興醫院,2995-9680,新北市三重區中興北街21號,25.0464905,121.4696644,地區醫院,如要接種，請先致電詢問疫苗庫存,電話、現場,否,內科,接種禁忌一、已知對疫苗的成份有過敏者，不予接種。二、過去注射曾經發生嚴重不良反應者，不予接種。接種注意事項一、 發燒或正患有急性中重疾病者，宜待病情穩定後再接種。二、 出生未滿6個月，因無使用效益及安全性等臨床資料，故不予接種。三、 先前接種本疫苗6週內曾發生Guillain-Barr? 症候群(GBS)者，宜請醫師評估。四、已知對「蛋」之蛋白質有嚴重過敏者，可在門/住診由熟悉處理過敏症狀之醫事人員提供接種，並於接種後觀察41分鐘，無不適症狀再離開。五、 其他經醫師評估不適合接種者，不予' ,297390.01,2771014.11,121.46966,25.046535,25.0464905,121.4696644
