ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,給藥,衛教
1,2331280018,衛生所,新北市萬里區衛生所,02-24921117,新北市萬里區瑪鍊路157號1－3樓及地下1樓,V,V
2,3531281172,診所,享悅診所,02-24928190,新北市萬里區瑪鍊路34號1樓,V,V
3,0431270012,地區醫院,國立臺灣大學醫學院附設醫院金山分院,02-24989898,新北市金山區五湖里玉爐路7號,V,V
4,2331270012,衛生所,新北市金山區衛生所,02-24986521,新北市金山區中山路257號4樓,V,V
5,0931010016,地區醫院,中英醫療社團法人中英醫院,02-22563584,新北市板橋區文化路1段196號1－4樓,V,V
6,1131010011,醫學中心,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,02-89667000,新北市板橋區南雅南路2段21號及高爾富路300號,V,V
7,1531010082,地區醫院,板新醫院,02-29609955,新北市板橋區中正路189號,V,V
8,1531010279,地區醫院,板橋中興醫院,02-29590707,新北市板橋區忠孝路15號,V,V
9,2331010016,衛生所,新北市板橋區衛生所,02-22586606,新北市板橋區英士路192號,V,V
10,3531011750,診所,慈蕙診所,02-29556754,新北市板橋區三民路2段202之29號（1樓）正隆巷2之1號,V,
11,3531012024,診所,黃世鑫診所,02-29536051,新北市板橋區四川路1段143號,V,
12,3531012097,診所,佑幼小兒科診所,02-22526199,新北市板橋區文化路2段57號,V,V
13,3531012257,診所,全德耳鼻喉科診所,02-29569948,新北市板橋區重慶路217號,V,
14,3531012695,診所,翰生診所,02-22545665,新北市板橋區漢生西路73號1樓,V,V
15,3531012837,診所,大川診所,02-89532285,新北市板橋區中山路2段84之6號1.2.3.4樓,V,V
16,3531013003,診所,陳敏玲內科診所,02-26816661,新北市板橋區溪崑二街97號,V,V
17,3531013076,診所,林國本耳鼻喉科診所,02-22557445,新北市板橋區文聖街6號,V,V
18,3531013138,診所,板聯診所,02-22559990,新北市板橋區民治街140號一樓,V,V
19,3531013414,診所,吳建明小兒科診所,02-89670670,新北市板橋區四川路2段245巷46號,V,V
20,3531015169,診所,常春聯合診所,02-29642694,新北市板橋區四川路1段47號,V,V
21,3531016719,診所,聯德診所,02-86871766,新北市板橋區溪北路13號,V,V
22,3531016924,診所,成安診所,02-29588182,新北市板橋區重慶路308巷2號,V,V
23,3531017010,診所,陳榮泰小兒科診所,02-26820560,新北市板橋區金門街311號,V,
24,3531017083,診所,樂福診所,02-29560606,新北市板橋區三民路2段89號,V,V
25,3531017207,診所,仁佑耳鼻喉科診所,02-89663577,新北市板橋區四川路2段33號1樓及39號1樓,V,
26,3531017305,診所,欣心診所,02-82528652,新北市板橋區莒光路94號1樓,V,V
27,3531017494,診所,和安診所,02-22578133,新北市板橋區四維路313號1樓,V,V
28,3531018062,診所,莒光診所,02-22527700,新北市板橋區莒光路30號1樓,V,V
29,3531018160,診所,放開心身心精神科診所,02-29557768,新北市板橋區四川路1段279號1、2樓,V,V
30,3531018197,診所,大鈞診所,02-29646656,新北市板橋區中山路2段88號1?4樓,V,V
31,3531018204,診所,嘉恩診所,02-22509566,新北市板橋區陽明街40號1樓,V,
32,3531018526,診所,品安診所,02-29610618,新北市板橋區忠孝路96號1樓,V,V
33,3531018624,診所,重心診所,02-29597755,新北市板橋區國慶路189號（1樓）,V,
34,3531018722,診所,裕民診所,02-22570601,新北市板橋區裕民街143號1樓,V,V
35,3531018820,診所,利人診所,02-22511067,新北市板橋區松柏街67號1樓,V,
36,3531019014,診所,晴天耳鼻喉科診所,02-29646662,新北市板橋區中山路2段144號(1樓),V,V
