ROW_NO,機構代碼,機構層級,機構名稱,機構電話,機構地址,緯度,經度,給藥,衛教
1,2331280018,衛生所,新北市萬里區衛生所,02-24921117,新北市萬里區瑪鍊路157號1－3樓及地下1樓,25.1783898,121.6897342,V,V
2,3531281172,診所,享悅診所,02-24928190,新北市萬里區瑪鍊路34號1樓,25.1774314,121.6892669,V,V
3,0431270012,地區醫院,國立臺灣大學醫學院附設醫院金山分院,02-24989898,新北市金山區五湖里玉爐路7號,25.2197079,121.621016,V,V
4,2331270012,衛生所,新北市金山區衛生所,02-24986521,新北市金山區中山路257號4樓,25.2220962,121.636859,V,V
5,0931010016,地區醫院,中英醫療社團法人中英醫院,02-22563584,新北市板橋區文化路1段196號1－4樓,24.949566,121.35289,V,V
6,1131010011,醫學中心,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,02-89667000,新北市板橋區南雅南路2段21號及高爾富路300號,24.997236,121.4532954,V,V
7,1531010082,地區醫院,板新醫院,02-29609955,新北市板橋區中正路189號,25.0168376,121.4564086,V,V
8,1531010279,地區醫院,板橋中興醫院,02-29590707,新北市板橋區忠孝路15號,25.0019608,121.460159,V,V
9,2331010016,衛生所,新北市板橋區衛生所,02-22586606,新北市板橋區英士路192號,25.023207,121.4582051,V,V
10,3531011750,診所,慈蕙診所,02-29556754,新北市板橋區三民路2段202之29號（1樓）正隆巷2之1號,25.0143648,121.4788784,V,
11,3531012024,診所,黃世鑫診所,02-29536051,新北市板橋區四川路1段143號,24.9959969,121.4559288,V,
12,3531012097,診所,佑幼小兒科診所,02-22526199,新北市板橋區文化路2段57號,25.0255025,121.4689682,V,V
13,3531012257,診所,全德耳鼻喉科診所,02-29569948,新北市板橋區重慶路217號,25.0013657,121.4630557,V,
14,3531012695,診所,翰生診所,02-22545665,新北市板橋區漢生西路73號1樓,25.0187989,121.462779,V,V
15,3531012837,診所,大川診所,02-89532285,新北市板橋區中山路2段84之6號1.2.3.4樓,25.0161309,121.4748949,V,V
16,3531013003,診所,陳敏玲內科診所,02-26816661,新北市板橋區溪崑二街97號,24.9890356,121.4269354,V,V
17,3531013076,診所,林國本耳鼻喉科診所,02-22557445,新北市板橋區文聖街6號,25.0323889,121.475189,V,V
18,3531013138,診所,板聯診所,02-22559990,新北市板橋區民治街140號一樓,25.0308769,121.4774424,V,V
19,3531013414,診所,吳建明小兒科診所,02-89670670,新北市板橋區四川路2段245巷46號,24.9924306,121.4518113,V,V
20,3531015169,診所,常春聯合診所,02-29642694,新北市板橋區四川路1段47號,24.9959969,121.4559288,V,V
21,3531016719,診所,聯德診所,02-86871766,新北市板橋區溪北路13號,24.9905075,121.4268592,V,V
22,3531016924,診所,成安診所,02-29588182,新北市板橋區重慶路308巷2號,24.9980306,121.4635192,V,V
23,3531017010,診所,陳榮泰小兒科診所,02-26820560,新北市板橋區金門街311號,24.9862202,121.4299266,V,
24,3531017083,診所,樂福診所,02-29560606,新北市板橋區三民路2段89號,25.0164837,121.4795187,V,V
25,3531017207,診所,仁佑耳鼻喉科診所,02-89663577,新北市板橋區四川路2段33號1樓及39號1樓,24.9954116,121.4545673,V,
26,3531017305,診所,欣心診所,02-82528652,新北市板橋區莒光路94號1樓,25.0239841,121.4719127,V,V
27,3531017494,診所,和安診所,02-22578133,新北市板橋區四維路313號1樓,25.0287671,121.4628712,V,V
28,3531018062,診所,莒光診所,02-22527700,新北市板橋區莒光路30號1樓,25.0245139,121.470166,V,V
29,3531018160,診所,放開心身心精神科診所,02-29557768,新北市板橋區四川路1段279號1、2樓,24.9959969,121.4559288,V,V
30,3531018197,診所,大鈞診所,02-29646656,新北市板橋區中山路2段88號1?4樓,25.0162177,121.4751868,V,V
31,3531018204,診所,嘉恩診所,02-22509566,新北市板橋區陽明街40號1樓,25.0219802,121.4659165,V,
32,3531018526,診所,品安診所,02-29610618,新北市板橋區忠孝路96號1樓,25.0020421,121.4619136,V,V
33,3531018624,診所,重心診所,02-29597755,新北市板橋區國慶路189號（1樓）,24.9964868,121.4629321,V,
34,3531018722,診所,裕民診所,02-22570601,新北市板橋區裕民街143號1樓,25.0271494,121.4588436,V,V
35,3531018820,診所,利人診所,02-22511067,新北市板橋區松柏街67號1樓,25.0306674,121.4762354,V,
36,3531019014,診所,晴天耳鼻喉科診所,02-29646662,新北市板橋區中山路2段144號(1樓),25.016914,121.476549,V,V
37,3531019283,診所,佳恩耳鼻喉科診所,02-22509566,新北市板橋區陽明街40號1樓,25.0219802,121.4659165,V,V
38,3531019407,診所,樂田耳鼻喉科診所,02-82582968,新北市板橋區文化路2段10號（1樓）,25.0240801,121.4688442,V,V
39,3531019783,診所,信德診所,02-22570295,新北市板橋區文化路1段310號1～2樓,24.949566,121.35289,V,V
40,3531019934,診所,明品診所,02-82752688,新北市板橋區僑中一街88號,25.0117639,121.4471513,V,
41,353101A495,診所,正家診所,02-89520988,新北市板橋區四川路一段２２３號１樓,25.0031905,121.4601693,V,V
42,353101A664,診所,山木耳鼻喉科診所,02-22540800,新北市板橋區英士路５３號１樓,25.0248768,121.4615096,V,V
43,5931010011,藥局,埔墘藥局,02-29646705,新北市板橋區中山路2段227號,25.0173753,121.4767917,V,V
44,5931010459,藥局,欣民藥局,02-22545938,新北市板橋區雙十路3段39號,25.0316747,121.4705221,V,V
45,5931010477,藥局,華傳綜合大藥局,02-29670029,新北市板橋區大智街40號,25.015148,121.454982,V,V
46,5931011447,藥局,日生大藥局,02-29675261,新北市板橋區中正路1巷16弄16號,25.0121158,121.4551006,V,V
47,5931012140,藥局,南雅藥局,02-22725358,新北市板橋區南雅南路1段5巷22號,25.0057165,121.4554698,V,V
48,5931016335,藥局,康匯藥局,02-29512610,新北市板橋區實踐路167號（1樓）,25.0038609,121.4645382,V,V
49,5931016880,藥局,漢民藥局,02-29598168,新北市板橋區漢生東路346號（1樓）,25.00735,121.4719337,V,V
50,5931017396,藥局,美康四維藥局,02-22506616,新北市板橋區四維路122號1樓,25.0250101,121.4654928,V,V
51,5931018240,藥局,微笑藥局,02-29655811,新北市板橋區中正路211號1、2樓,25.0175472,121.4560706,V,V
52,5931018384,藥局,廣欣藥師藥局,02-22540613,新北市板橋區雙十路3段52號1樓,25.0314271,121.4710209,V,V
