行政區,醫療院所名稱,地址,聯絡電話
63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-27718151
63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-27642151
63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-27135211
63000010,江崇萍小兒科診所,臺北市松山區南京東路5段251巷24弄27號,02-27632260
63000010,陳炳堅內科診所,臺北市松山區延壽街327號,02-27637199
63000010,車參薇小兒科診所,臺北市松山區八德路三段195號1樓,02-25770101
63000010,心田民生診所,臺北市松山區民生東路5段105號1樓,02-27653039
63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段692號,02-27653147
63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號4號.12號,02-27292539
63000020,黃啟彰診所,臺北市信義區松山路261-1號,02-27696218
63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,02-27601618
63000020,信義邱婦產科診所,臺北市信義區虎林街198號,02-27278275
63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-27372181
63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區信義路五段15號,02-87804152
63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,02-23257500
63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號,02-27390997
63000030,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,02-27713161
63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號 ,02-27018159
63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路4段112巷11號,02-27081166
63000030,夏爾診所,臺北市大安區信義路4段265巷54號,02-23255508
63000030,吳坤光婦產科診所,臺北市大安區信義路4段59號,02-27059321
63000040,臺北市立聯合醫院附設中山門診部,臺北市中山區松江路367號,02-25013363
63000040,大直佳恩診所,臺北市中山區北安路591號,02-25323301
63000040,大直診所,臺北市中山區北安路595巷2弄2號,02-25332339
63000040,李義男婦產科診所,臺北市中山區中山北路2段71號4樓,02-25361158
63000040,榮星診所,臺北市中山區龍江路272號,02-25168112
63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-25433535
63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路二段92號,02-25433535
