序號,行政區,院所名稱,地址,電話,語音預約
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,(02)27135211,
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,(02)27718151,
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,(02)27653147,
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,
7,松山區,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,(02)87729068,
8,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,(02)77287688,
9,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
10,松山區,佑家診所,臺北市松山區八德路三段233號,(02)25785658,
11,松山區,吳慶南內科診所,臺北市松山區民生東路五段138號,(02)27659566,
12,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,(02)25770101,
13,松山區,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,(02)27689577,
14,松山區,邱楠超診所,臺北市松山區延吉街20號1樓,(02)25702296,
15,松山區,宥全診所,臺北市松山區民生東路五段216號1樓,(02)27678225,
16,松山區,陳炳堅內科診所,臺北市松山區延壽街327號,(02)27637199,
17,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,(02)25779898,
18,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,(02)27603922,
19,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,(02)27420552,
20,松山區,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,(02)87728086,
21,松山區,畇力診所,臺北市松山區富錦街512號1樓,(02)27659022,
22,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,(02)27653039,
23,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,(02)27128875,
24,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181,
25,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,(02)87804152,
26,信義區,明輝診所,臺北市信義區松隆路282-3號,(02)87871235,
27,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,(02)87808580,
28,信義區,松禾診所,臺北市信義區松山路130號3樓,(02)27666738,
29,信義區,林應然小兒科診所,臺北市信義區福德街75號,(02)27595328,
30,信義區,長風小兒科診所,臺北市信義區莊敬路351號,(02)27227943,
31,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,(02)27278275,
32,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,(02)27296611,
33,信義區,登瑞安診所,臺北市信義區林口街232號,(02)27265228,
34,信義區,黃啟彰診所,臺北市信義區松山路261-1號,(02)27696218,
35,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,(02)27265025,
36,信義區,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,(02)27601618,
37,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,(02)27082121,
38,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,(02)27093600,
39,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,(02)27081166,
40,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,(02)27390997,
41,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,(02)23784380,
42,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,(02)23698833,
43,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,(02)23690211,
44,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,(02)27065995,
45,大安區,安東診所,臺北市大安區和平東路二段229號,(02)27088995,
46,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,(02)27059320,
47,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,(02)27000708,
48,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,(02)27018159,
49,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,(02)27068208,
50,大安區,那明珠診所,臺北市大安區和平東路三段8號,(02)27360589,
51,大安區,松德診所,臺北市大安區四維路170巷16號1樓,(02)27073326,
52,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,(02)27315568,
53,大安區,邱醫師診所,臺北市大安區和平東路三段288號,(02)27392696,
54,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,(02)23255508,
55,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,(02)27211258,
56,大安區,健華診所,臺北市大安區和平東路二段299號,(02)27072990,
57,大安區,國立台灣大學保健中心,臺北市大安區羅斯福路四段1號,(02)33662156,
