序號,行政區,院所名稱,地址,緯度,經度,電話,語音預約,緯度,經度
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,25.0556512,121.5493054,(02)27135211,,25.0556512,121.5493054
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,25.0476829,121.5474831,(02)27718151,,25.0476829,121.5474831
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,25.0544026,121.5576579,(02)27642151,,25.0544026,121.5576579
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,25.0499703,121.5575603,(02)25786677,,25.0499703,121.5575603
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,25.0496778,121.5773136,(02)27653147,,25.0496778,121.5773136
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,25.0565574,121.5531024,(02)27138815,,25.0565574,121.5531024
7,松山區,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,25.0510506,121.544235,(02)87729068,,25.0510506,121.544235
8,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,25.053688,121.5484626,(02)77287688,,25.053688,121.5484626
9,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,25.0524026,121.5643397,(02)27632260,,25.0524026,121.5643397
10,松山區,佑家診所,臺北市松山區八德路三段233號,25.0482731,121.5571206,(02)25785658,,25.0482731,121.5571206
11,松山區,吳慶南內科診所,臺北市松山區民生東路五段138號,25.05857,121.5617442,(02)27659566,,25.05857,121.5617442
12,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,25.0481627,121.5561799,(02)25770101,,25.0481627,121.5561799
13,松山區,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,25.0525083,121.565833,(02)27689577,,25.0525083,121.565833
14,松山區,邱楠超診所,臺北市松山區延吉街20號1樓,25.046802,121.553404,(02)25702296,,25.046802,121.553404
15,松山區,宥全診所,臺北市松山區民生東路五段216號1樓,25.0588811,121.565097,(02)27678225,,25.0588811,121.565097
16,松山區,陳炳堅內科診所,臺北市松山區延壽街327號,25.056826,121.560329,(02)27637199,,25.056826,121.560329
17,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,25.0480002,121.551044,(02)25779898,,25.0480002,121.551044
18,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,25.058507,121.56221,(02)27603922,,25.058507,121.56221
19,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,25.0557787,121.5635295,(02)27420552,,25.0557787,121.5635295
20,松山區,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,25.0483727,121.5464319,(02)87728086,,25.0483727,121.5464319
21,松山區,畇力診所,臺北市松山區富錦街512號1樓,25.060923,121.564603,(02)27659022,,25.060923,121.564603
22,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,25.05879,121.5600709,(02)27653039,,25.05879,121.5600709
23,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,25.0616002,121.5478149,(02)27128875,,25.0616002,121.5478149
24,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,25.0269555,121.563012,(02)27372181,,25.0269555,121.563012
25,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,25.0385914,121.5830385,(02)87804152,,25.0385914,121.5830385
26,信義區,明輝診所,臺北市信義區松隆路282-3號,25.0482589,121.575595,(02)87871235,,25.0482589,121.575595
27,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,25.0261438,121.5688038,(02)87808580,,25.0261438,121.5688038
28,信義區,松禾診所,臺北市信義區松山路130號3樓,25.0477482,121.5774791,(02)27666738,,25.0477482,121.5774791
29,信義區,林應然小兒科診所,臺北市信義區福德街75號,25.036847,121.5811319,(02)27595328,,25.036847,121.5811319
30,信義區,長風小兒科診所,臺北市信義區莊敬路351號,25.0279119,121.5645429,(02)27227943,,25.0279119,121.5645429
31,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,25.0383995,121.5768198,(02)27278275,,25.0383995,121.5768198
32,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,25.0238287,121.5694373,(02)27296611,,25.0238287,121.5694373
33,信義區,登瑞安診所,臺北市信義區林口街232號,25.0424736,121.5813254,(02)27265228,,25.0424736,121.5813254
34,信義區,黃啟彰診所,臺北市信義區松山路261-1號,25.0438009,121.578016,(02)27696218,,25.0438009,121.578016
35,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,25.0394052,121.5832353,(02)27265025,,25.0394052,121.5832353
36,信義區,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,25.0420132,121.563555,(02)27601618,,25.0420132,121.563555
37,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,25.0364269,121.5547681,(02)27082121,,25.0364269,121.5547681
38,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,25.037298,121.5453853,(02)27093600,,25.037298,121.5453853
39,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,25.036515,121.5499289,(02)27081166,,25.036515,121.5499289
