序號,行政區,院所名稱,地址,電話
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-2713-5211
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-2771-8151
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-2764-2151
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,02-2578-6677
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,02-2765-3147
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,02-2713-8815
7,松山區,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,02-2718-1177
8,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,02-7728-7688
9,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,02-2763-2260
10,松山區,佑家診所,臺北市松山區八德路三段233號,02-2578-5658
11,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,02-2577-0101
12,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,02-2577-9898
13,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,02-2760-3922
14,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,02-2765-3039
15,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,02-2712-8875
16,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-2737-2181
17,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,02-8780-4152
18,信義區,明輝診所,臺北市信義區松隆路282-3號,02-8787-1235
19,信義區,林應然小兒科診所,臺北市信義區福德街75號,02-2759-5328
20,信義區,長風小兒科診所,臺北市信義區莊敬路351號,02-2722-7943
21,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,02-2727-8275
22,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,02-2729-6611
23,信義區,登瑞安診所,臺北市信義區林口街232號,02-2726-5228
24,信義區,黃啟彰診所,臺北市信義區松山路261-1號,02-2769-6218
25,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,02-2726-5025
26,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-2708-2121
27,大安區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,02-2709-3600
28,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-2708-1166
29,大安區,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,02-2739-0997
30,大安區,啟誠聯合診所,臺北市大安區和平東路二段120號,02-2378-4380
31,大安區,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,02-2369-8833
32,大安區,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,02-2369-0211
33,大安區,仁安診所,臺北市大安區和平東路二段175巷34號,02-2706-5995
34,大安區,安東診所,臺北市大安區和平東路二段229號,02-2708-8995
35,大安區,吳坤光婦產科診所,臺北市大安區信義路四段59號,02-2705-9320
36,大安區,呂小兒科診所,臺北市大安區通化街24巷6號1樓,02-2700-0708
37,大安區,李細祥內科診所,臺北市大安區四維路198巷30弄5號,02-2701-8159
38,大安區,杏保醫網信誠診所,臺北市大安區信義路四段197號,02-2706-8208
39,大安區,那明珠診所,臺北市大安區和平東路三段8號,02-2736-0589
40,大安區,松德診所,臺北市大安區四維路170巷16號1樓,02-2707-3326
41,大安區,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,02-2731-5568
42,大安區,邱醫師診所,臺北市大安區和平東路三段288號,02-2739-2696
43,大安區,夏爾診所,臺北市大安區信義路四段265巷54號,02-2325-5508
44,大安區,家齡診所,臺北市大安區敦化南路一段191號B1,02-2721-1258
45,大安區,健華診所,臺北市大安區和平東路二段299號,02-2707-2990
46,大安區,許靜瑛小兒科診所,臺北市大安區和平東路一段230號1樓,02-2362-9088
47,大安區,博全婦產科診所,臺北市大安區大安路一段18號,02-2777-4427
48,大安區,博安家庭醫學診所,臺北市大安區麗水街3號,02-2356-7066
49,大安區,黃文香兒科診所,臺北市大安區忠孝東路四段250號2樓之1,02-2731-3305
50,大安區,愛群兒童成長診所,臺北市大安區信義路三段155號1樓,02-5599-8330
51,大安區,葉明憲小兒科診所,臺北市大安區羅斯福路三段191號2樓,02-2369-1688
52,大安區,劉建宏診所,臺北市大安區大安路二段139號,02-2700-2368
53,大安區,樂益耳鼻喉科診所,臺北市大安區復興南路二段161號1樓,02-2709-6199
54,大安區,伊生診所,臺北市大安區忠孝東路四段216巷32弄15號,02-2775-1301
55,大安區,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,02-2368-2333
56,中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-2543-3535
