序號,行政區,院所名稱,地址,緯度,經度,電話,緯度.1,經度.1,district
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,25.0556512,121.5493054,02-2713-5211,25.0556512,121.5493054,松山區
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,25.0476829,121.5474831,02-2771-8151,25.0476829,121.5474831,松山區
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,25.0544026,121.5576579,02-2764-2151,25.0544026,121.5576579,松山區
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,25.0499703,121.5575603,02-2578-6677,25.0499703,121.5575603,松山區
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,25.0496778,121.5773136,02-2765-3147,25.0496778,121.5773136,松山區
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,25.0565574,121.5531024,02-2713-8815,25.0565574,121.5531024,松山區
7,松山區,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,25.0582411,121.5532736,02-2718-1177,25.0582411,121.5532736,松山區
8,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,25.053688,121.5484626,02-7728-7688,25.053688,121.5484626,松山區
9,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,25.0524026,121.5643397,02-2763-2260,25.0524026,121.5643397,松山區
10,松山區,佑家診所,臺北市松山區八德路三段233號,25.0482731,121.5571206,02-2578-5658,25.0482731,121.5571206,松山區
11,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,25.0481627,121.5561799,02-2577-0101,25.0481627,121.5561799,松山區
12,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,25.0480002,121.551044,02-2577-9898,25.0480002,121.551044,松山區
13,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,25.058507,121.56221,02-2760-3922,25.058507,121.56221,松山區
14,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,25.05879,121.5600709,02-2765-3039,25.05879,121.5600709,松山區
15,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,25.0616002,121.5478149,02-2712-8875,25.0616002,121.5478149,松山區
16,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,25.0269555,121.563012,02-2737-2181,25.0269555,121.563012,信義區
17,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,25.0385914,121.5830385,02-8780-4152,25.0385914,121.5830385,信義區
18,信義區,明輝診所,臺北市信義區松隆路282-3號,25.0482589,121.575595,02-8787-1235,25.0482589,121.575595,信義區
