序號,行政區,院所名稱,地址,電話
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-2713-5211
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-2771-8151
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-2764-2151
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,02-2578-6677
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,02-2765-3147
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,02-2713-8815
7,松山區,王躬仁診所,臺北市松山區新中街12-3號1樓,02-2764-6685
8,松山區,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,02-2718-1177
9,松山區,民生翁耳鼻喉科診所,臺北市松山區民生東路五段78號1樓,02-2762-5922
10,松山區,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,02-8772-9068
11,松山區,安禾聯合診所,臺北市松山區民權東路三段178號3樓,02-2713-7889
12,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,02-7728-7688
13,松山區,安德聯合診所,臺北市松山區八德路三段34號4樓及12樓,02-2570-5886
14,松山區,朱家庭醫學科診所,臺北市松山區八德路三段12巷57弄39-1號1樓,02-2579-5004
15,松山區,江建中診所,臺北市松山區八德路四段285號,02-2764-7883
16,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,02-2763-2260
17,松山區,佑家診所,臺北市松山區八德路三段233號,02-2578-5658
18,松山區,吳慶南內科診所,臺北市松山區民生東路五段138號,02-2765-9566
19,松山區,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,02-2577-0101
20,松山區,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,02-2768-9577
21,松山區,宥全診所,臺北市松山區民生東路五段216號1樓,02-2767-8225
22,松山區,康瑞耳鼻喉科診所,臺北市松山區八德路三段154號,02-2578-2522
23,松山區,陳炳堅內科診所,臺北市松山區延壽街327號,02-2763-7199
24,松山區,鈞賀診所,臺北市松山區富錦街462號,02-2760-0101
25,松山區,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,02-2577-9898
26,松山區,劉內兒科診所,臺北市松山區民生東路五段148號1樓,02-2760-3922
27,松山區,澄東耳鼻喉科診所,臺北市松山區三民路37號,02-2742-0552
28,松山區,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,02-8772-8086
29,松山區,畇力診所,臺北市松山區富錦街512號1樓,02-2765-9022
30,松山區,心田民生診所,臺北市松山區民生東路五段105號1樓,02-2765-3039
31,松山區,弘宇診所,臺北市松山區民權東路三段160巷2之6號,02-2712-8875
32,信義區,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,02-2726-3141
33,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-2737-2181
34,信義區,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,02-8780-4152
35,信義區,大明診所,臺北市信義區崇德街35號,02-2732-6885
36,信義區,王寬仁診所,臺北市信義區虎林街121巷11號1樓,02-2720-4952
37,信義區,台灣中油股份有限公司員工診所,臺北市信義區松仁路3號3樓,02-8725-9796
38,信義區,永吉羅耳鼻喉科診所,臺北市信義區永吉路272號,02-2768-3191
39,信義區,朱耳鼻喉科診所,臺北市信義區忠孝東路五段452號,02-2720-9172
40,信義區,明輝診所,臺北市信義區松隆路282-3號,02-8787-1235
41,信義區,松山班廷建興診所,臺北市信義區市民大道六段318號,02-2765-2295
42,信義區,松仁耳鼻喉科診所,臺北市信義區松仁路231號,02-8780-8580
43,信義區,松禾診所,臺北市信義區松山路130號3樓,02-2766-6738
44,信義區,松德耳鼻喉科診所,臺北市信義區松德路58號,02-2758-4958
45,信義區,林應然小兒科診所,臺北市信義區福德街75號,02-2759-5328
46,信義區,長風小兒科診所,臺北市信義區莊敬路351號,02-2722-7943
47,信義區,信義邱婦產科診所,臺北市信義區虎林街198號,02-2727-8275
48,信義區,?麗恆全人診所,臺北市信義區忠孝東路五段431號2樓,02-2765-7065
49,信義區,桂其安家醫科診所,臺北市信義區莊敬路462號,02-2722-9173
50,信義區,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,02-2729-6611
51,信義區,莊敬診所,臺北市信義區莊敬路280號,02-2758-9258
52,信義區,登瑞安診所,臺北市信義區林口街232號,02-2726-5228
53,信義區,黃啟彰診所,臺北市信義區松山路261-1號,02-2769-6218
54,信義區,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,02-2726-5025
55,信義區,臺北產業醫診所,臺北市信義區信義路五段7號35樓,02-8101-6355
56,信義區,福德郭耳鼻喉科診所,臺北市信義區福德街62號,02-2759-1051
57,信義區,德佑診所,臺北市信義區福德街215號,02-2759-6037
58,信義區,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,02-2760-1618
