序號,行政區,院所名稱,地址,緯度,經度,電話,緯度.1,經度.1,district
1,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,25.0556512,121.5493054,02-2713-5211,25.0556512,121.5493054,松山區
2,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,25.0476829,121.5474831,02-2771-8151,25.0476829,121.5474831,松山區
3,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,25.0544026,121.5576579,02-2764-2151,25.0544026,121.5576579,松山區
4,松山區,博仁綜合醫院,臺北市松山區光復北路66號,25.0499703,121.5575603,02-2578-6677,25.0499703,121.5575603,松山區
5,松山區,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,25.0496778,121.5773136,02-2765-3147,25.0496778,121.5773136,松山區
6,松山區,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,25.0565574,121.5531024,02-2713-8815,25.0565574,121.5531024,松山區
7,松山區,王躬仁診所,臺北市松山區新中街12-3號1樓,25.060105,121.5605366,02-2764-6685,25.060105,121.5605366,松山區
8,松山區,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,25.0582411,121.5532736,02-2718-1177,25.0582411,121.5532736,松山區
9,松山區,民生翁耳鼻喉科診所,臺北市松山區民生東路五段78號1樓,25.0583391,121.5590738,02-2762-5922,25.0583391,121.5590738,松山區
10,松山區,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,25.0510506,121.544235,02-8772-9068,25.0510506,121.544235,松山區
11,松山區,安禾聯合診所,臺北市松山區民權東路三段178號3樓,25.0614502,121.5495446,02-2713-7889,25.0614502,121.5495446,松山區
12,松山區,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,25.053688,121.5484626,02-7728-7688,25.053688,121.5484626,松山區
13,松山區,安德聯合診所,臺北市松山區八德路三段34號4樓及12樓,25.0480759,121.551944,02-2570-5886,25.0480759,121.551944,松山區
14,松山區,朱家庭醫學科診所,臺北市松山區八德路三段12巷57弄39-1號1樓,25.0454791,121.5521787,02-2579-5004,25.0454791,121.5521787,松山區
15,松山區,江建中診所,臺北市松山區八德路四段285號,25.049191,121.5659245,02-2764-7883,25.049191,121.5659245,松山區
16,松山區,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,25.0524026,121.5643397,02-2763-2260,25.0524026,121.5643397,松山區
17,松山區,佑家診所,臺北市松山區八德路三段233號,25.0482731,121.5571206,02-2578-5658,25.0482731,121.5571206,松山區
18,松山區,吳慶南內科診所,臺北市松山區民生東路五段138號,25.05857,121.5617442,02-2765-9566,25.05857,121.5617442,松山區
